服务,级别,错误,消息,组件,原因
AuthService,ERROR,INVALID_TOKEN,Token校验失败，用户ID:1001,TokenValidator,JWT签名算法不匹配，预期HS256实际RS256，导致密钥验证失败
OrderService,WARN,TIMEOUT,订单创建超时，订单ID:ORD20250919001,OrderCreator,下游PaymentService响应时间超过5秒阈值，触发熔断机制
PaymentService,FATAL,DB_CONNECTION_LOST,数据库连接池耗尽，无法获取连接,DBConnector,MySQL最大连接数设置为100，当前活跃连接达120，存在连接泄漏
LogService,ERROR,CORRUPTED_LOG,日志文件损坏，偏移量:0x7FFF,LogWriter,磁盘写入过程中服务器突然断电，导致日志文件末尾CRC校验失败
Alatest80,WARN,METRIC_LABEL_NAME_INVALID,标签名 123label 非法,LabelName,数字开头
Alatest81,ERROR,WEBHOOK_RESPONSE_HEADER_MISS,缺少 X-Hook-ID 头,HeaderMiss,接收方未返回
Alatest82,FATAL,THREAD_STACK_HIGH,线程栈使用 90%,StackHigh,递归深
Alatest83,WARN,INVALID_GEO_JSON,GeoJSON 缺 type 字段,GeoJsonValid,格式错误
Alatest84,ERROR,NATIVE_LIBRARY_LOAD_FAIL,原生库 aks_native 缺失,LibraryLoad,依赖 so 不存在
Alatest85,FATAL,CACHE_VALUE_COMPRESSION_FAIL,压缩算法 brotli 失败,CompressFail,内存不足
Alatest86,WARN,PASSWORD_COMPLEXITY_NOT_MET,密码 pass 复杂度不足,Complexity,缺数字符号
Alatest87,ERROR,ROUTE_REDIRECT_LOOP,重定向循环 /akv,RedirectLoop,配置错误
Alatest88,FATAL,INVALID_XML_ENCODING_DECLARATION,XML 声明 utf-32 不支持,XmlEncoding,仅支持 utf-8
Alatest89,WARN,TRANSACTION_LOG_TRUNCATE_FAIL,日志截断失败,TruncateLog,文件被锁
Alatest90,ERROR,BANDWIDTH_SAMPLE_LOST,采样丢失 10%,BandwidthSample,采集器故障
Alatest91,FATAL,API_RESPONSE_CODE_NOT_DOCUMENT,状态码 599 无文档,ApiDoc,文档缺失
Alatest92,WARN,MEMORY_SWAP_HIGH,交换分区 85%,SwapUsage,内存耗尽
Alatest93,ERROR,CACHE_VALUE_DESERIALIZE_FAIL,反序列化类不存在,DeserializeErr,类被卸载
Alatest94,FATAL,INVALID_ENUM_VALUE,枚举 xyz 无效,EnumErr,值不在范围
Alatest95,WARN,HEAP_ALLOCATION_FAIL,堆分配 2 GB 失败,HeapFail,内存不足
Alatest96,ERROR,MESSAGE_IN_FLIGHT_HIGH,在途 1.2 万条,InFlightErr,消费者卡死
Alatest97,FATAL,CERT_PRIVATE_KEY_ENCRYPT_FAIL,DES 加密失败,KeyEncryptErr,算法被禁
Alatest98,WARN,DISK_TEMP_HIGH,磁盘 65 ℃,DiskTempErr,散热故障
Alatest99,ERROR,INVALID_JSON_POINTER,JSONPointer 负索引,PointerErr,不支持
AuthService,ERROR,MFA_FAIL,多因子认证失败，用户ID: 10070,MfaValidator,谷歌验证器验证码错误
PayService,WARN,PAY_FEE_CHANGE,支付手续费变更，费率: 0.6%,FeeManager,渠道调整费率
StockService,ERROR,STOCK_EXPIRE,库存过期，商品ID: 30014,StockExpireChecker,商品超过保质期
OrderService,INFO,ORDER_SPLIT,订单拆分成功，原订单ID: 20017,OrderSplitter,多仓库发货
NotiService,ERROR,SMS_SIGN_FAIL,短信签名未备案，签名: 【商城】,SmsSignManager,运营商拒绝发送
UserService,WARN,LOGIN_IP_CHANGE,登录IP变化，用户ID: 10071,IpChangeDetector,新IP: 223.104.45.6
CartService,ERROR,CART_ITEM_DUPLICATE,购物车商品重复，商品ID: 30015,CartDeduplicator,重复添加同SKU
EmailService,INFO,LIST_UNSUBSCRIBE,用户退订邮件，用户ID: 10072,UnsubscribeHandler,退订营销活动
GatewayService,WARN,BACKEND_HEALTH_FAIL,后端健康检查失败，服务: StockService,HealthChecker,返回503状态
LogService,ERROR,LOG_LOST_TIME,日志时间戳错乱，记录行: 2048,LogTimeValidator,系统时间回拨
SearchService,INFO,QUERY_SUGGEST,"搜索建议触发，关键词: ""蓝牙""",SuggestionEngine,返回5条建议
AarService,WARN,PASSWORD_EXPIRE,密码即将过期，用户ID: 10073,PasswordExpireReminder,剩余3天
AbaService,ERROR,BALANCE_REFUND_FAIL,余额退款失败，用户ID: 10074,BalanceRefundProcessor,原支付渠道关闭
PayService,INFO,PAY_CHANNEL_SWITCH,支付渠道切换，原渠道: wxpay,ChannelSwitcher,渠道故障自动切换
StockService,WARN,STOCK_MOVE,库存调拨，商品ID: 30016,StockMoveManager,从A仓调B仓
OrderService,ERROR,ORDER_RECEIPT_FAIL,发票开具失败，订单ID: 20018,ReceiptManager,税控系统离线
NotiService,INFO,INBOX_FULL,用户收件箱已满，用户ID: 10075,InboxMonitor,超过100条未读
UserService,ERROR,BIND_PHONE_FAIL,手机号绑定失败，用户ID: 10076,PhoneBinder,手机号已绑定其他账号
CartService,WARN,CART_DISCOUNT_EXPIRE,购物车优惠过期，用户ID: 10077,DiscountTracker,优惠券已失效
EmailService,ERROR,DKIM_FAIL,DKIM签名验证失败，域名: example.com,DkimValidator,公钥未配置
GatewayService,INFO,CACHE_WARM,缓存预热完成，服务: ProductService,CacheWarmer,加载热点数据
LogService,WARN,LOG_ENCODING_ERR,日志编码错误，字符: �,LogEncoder,非UTF-8字符
SearchService,ERROR,FIELD_MISSING,搜索字段缺失，字段: price,FieldValidator,索引映射错误
AuthService,INFO,SSO_LOGIN,单点登录成功，用户ID: 10078,SsoManager,跳转回商城
PayService,WARN,PAY Risk,支付风险检测，用户ID: 10079,RiskEngine,异常大额支付
StockService,ERROR,BATCH_STOCK_FAIL,批量扣减失败，商品数: 50,BatchStockManager,中间件网络闪断
OrderService,INFO,ORDER_GIFT,赠品添加成功，订单ID: 20019,GiftManager,满赠活动
NotiService,WARN,SILENCE_TIME,静默时段，用户ID: 10080,SilenceManager,22:00-08:00
